provincia_iso;provincia;iso;ccaa
AL;Almería;AN;Andalucía
CA;Cádiz;AN;Andalucía
CO;Córdoba;AN;Andalucía
GR;Granada;AN;Andalucía
H;Huelva;AN;Andalucía
J;Jaén;AN;Andalucía
MA;Málaga;AN;Andalucía
SE;Sevilla;AN;Andalucía
HU;Huesca;AR;Aragón
TE;Teruel;AR;Aragón
Z;Zaragoza;AR;Aragón
O;Asturias;AS;Asturias
GC;Las Palmas;CN;Canarias
TF;Santa Cruz de Tenerife;CN;Canarias
S;Cantabria;CB;Cantabria
AV;Ávila;CL;Castilla y León
BU;Burgos;CL;Castilla y León
LE;León;CL;Castilla y León
P;Palencia;CL;Castilla y León
SA;Salamanca;CL;Castilla y León
SG;Segovia;CL;Castilla y León
SO;Soria;CL;Castilla y León
VA;Valladolid;CL;Castilla y León
ZA;Zamora;CL;Castilla y León
AB;Albacete;CM;Castilla-La Mancha
CR;Ciudad Real;CM;Castilla-La Mancha
CU;Cuenca;CM;Castilla-La Mancha
GU;Guadalajara;CM;Castilla-La Mancha
TO;Toledo;CM;Castilla-La Mancha
B;Barcelona;CT;Cataluña
GI;Girona;CT;Cataluña
L;Lleida;CT;Cataluña
T;Tarragona;CT;Cataluña
CE;Ceuta;EA;Ceuta y Melilla
ML;Melilla;EA;Ceuta y Melilla
A;Alicante;VC;Comunidad Valenciana
CS;Castellón;VC;Comunidad Valenciana
V;Valencia;VC;Comunidad Valenciana
BA;Badajoz;EX;Extremadura
CC;Cáceres;EX;Extremadura
C;A Coruña;GA;Galicia
LU;Lugo;GA;Galicia
OR;Ourense;GA;Galicia
PO;Pontevedra;GA;Galicia
PM;Islas Baleares;IB;Islas Baleares
LO;La Rioja;RI;La Rioja
M;Madrid;MD;Madrid
MU;Murcia;MC;Murcia
NA;Navarra;NC;Navarra
VI;Álava;PV;País Vasco
SS;Guipúzcoa;PV;País Vasco
BI;Vizcaya;PV;País Vasco
NC;No Consta;;No Consta
